,Id_Fecha_Pintura,Fecha,Pintura,Litros Totales,Valor USD,Linea,Area,Espesor,Rendimiento Diario,Rendimiento Std,Diferencia de Rendimientos,Diferencia de Rendimientos !(abs)
0,2021-08-170093-50 GLOSS CLEAR ONE PASSPintado 1,2021-08-17,0093-50 GLOSS CLEAR ONE PASS,181.68,2734.28,Pintado 1,7659.794,7.971,42.16090929,33.44262295,8.71828634,8.71828634
1,2021-09-040093-50 GLOSS CLEAR ONE PASSPintado 1,2021-09-04,0093-50 GLOSS CLEAR ONE PASS,211.68,3185.78,Pintado 1,5827.327,6.479,27.52894463,33.44262295,5.913678317,-5.913678317
2,2021-10-150093-50 GLOSS CLEAR ONE PASSPintado 1,2021-10-15,0093-50 GLOSS CLEAR ONE PASS,169,2543.45,Pintado 1,3905.66923,4.339,23.11046882,33.44262295,10.33215413,-10.33215413
3,2021-10-220093-50 GLOSS CLEAR ONE PASSPintado 1,2021-10-22,0093-50 GLOSS CLEAR ONE PASS,119,1790.95,Pintado 1,3637.224,3.6433,30.56490756,33.44262295,2.877715388,-2.877715388
4,2021-12-020093-50 GLOSS CLEAR ONE PASSPintado 1,2021-12-02,0093-50 GLOSS CLEAR ONE PASS,10,150.5,Pintado 1,828.24,0.7253,82.824,33.44262295,49.38137705,49.38137705
5,2022-01-300093-50 GLOSS CLEAR ONE PASSPintado 1,2022-01-30,0093-50 GLOSS CLEAR ONE PASS,364.715,5412.37,Pintado 1,13178.546,13.6469,36.13381956,33.44262295,2.691196607,2.691196607
6,2022-03-110093-50 GLOSS CLEAR ONE PASSPintado 1,2022-03-11,0093-50 GLOSS CLEAR ONE PASS,463.75,6882.05,Pintado 1,16457.896,18.344,35.48872453,33.44262295,2.046101577,2.046101577
7,2022-03-030093-50 GLOSS CLEAR ONE PASSPintado 1,2022-03-03,0093-50 GLOSS CLEAR ONE PASS,193.205,2867.16,Pintado 1,7839.458,7.261,40.57585466,33.44262295,7.133231711,7.133231711
8,2022-04-240093-50 GLOSS CLEAR ONE PASSPintado 1,2022-04-24,0093-50 GLOSS CLEAR ONE PASS,134,1988.56,Pintado 1,3283.294,3.62,24.50219403,33.44262295,8.940428921,-8.940428921
9,2022-05-300093-50 GLOSS CLEAR ONE PASSPintado 1,2022-05-30,0093-50 GLOSS CLEAR ONE PASS,99.25,1472.87,Pintado 1,3228.61,3.663,32.53007557,33.44262295,0.9125473841,-0.9125473841
10,2022-05-280093-50 GLOSS CLEAR ONE PASSPintado 1,2022-05-28,0093-50 GLOSS CLEAR ONE PASS,74.25,1101.87,Pintado 1,2277.814,2.9374,30.67762963,33.44262295,2.764993321,-2.764993321
11,2022-06-090093-50 GLOSS CLEAR ONE PASSPintado 1,2022-06-09,0093-50 GLOSS CLEAR ONE PASS,154,2285.36,Pintado 1,5886.427,5.78,38.22355195,33.44262295,4.780928997,4.780928997
12,2022-07-080093-50 GLOSS CLEAR ONE PASSPintado 1,2022-07-08,0093-50 GLOSS CLEAR ONE PASS,423.5,7038.58,Pintado 1,12390.64,13.148,29.25770956,33.44262295,4.184913388,-4.184913388
13,2022-08-260093-50 GLOSS CLEAR ONE PASSPintado 1,2022-08-26,0093-50 GLOSS CLEAR ONE PASS,181.68,3019.52,Pintado 1,5249.568,5.1282,28.89458388,33.44262295,4.548039067,-4.548039067
14,2022-08-250093-50 GLOSS CLEAR ONE PASSPintado 1,2022-08-25,0093-50 GLOSS CLEAR ONE PASS,45.25,752.06,Pintado 1,942.47658,0.7293,20.82821171,33.44262295,12.61441124,-12.61441124
15,2022-09-280093-50 GLOSS CLEAR ONE PASSPintado 1,2022-09-28,0093-50 GLOSS CLEAR ONE PASS,160.25,2663.36,Pintado 1,3111.99,2.9274,19.41959438,33.44262295,14.02302857,-14.02302857
16,2022-09-240093-50 GLOSS CLEAR ONE PASSPintado 1,2022-09-24,0093-50 GLOSS CLEAR ONE PASS,29,481.98,Pintado 1,766.458,0.7223,26.42958621,33.44262295,7.013036744,-7.013036744
17,2022-10-090093-50 GLOSS CLEAR ONE PASSPintado 1,2022-10-09,0093-50 GLOSS CLEAR ONE PASS,365.25,6070.46,Pintado 1,11876.326,12.512,32.51560849,33.44262295,0.9270144635,-0.9270144635
18,2022-11-200093-50 GLOSS CLEAR ONE PASSPintado 1,2022-11-20,0093-50 GLOSS CLEAR ONE PASS,487.5,8102.26,Pintado 1,14166.509,14.6019,29.05950564,33.44262295,4.38311731,-4.38311731
19,2023-03-170093-50 GLOSS CLEAR ONE PASSPintado 1,2023-03-17,0093-50 GLOSS CLEAR ONE PASS,289.25,4801.55,Pintado 1,7620.272,7.993,26.34493345,33.44262295,7.097689502,-7.097689502
20,2023-06-210093-50 GLOSS CLEAR ONE PASSPintado 1,2023-06-21,0093-50 GLOSS CLEAR ONE PASS,283.78,4710.75,Pintado 1,8247.40052,8.7824,29.062656,33.44262295,4.37996695,-4.37996695
21,2023-06-010093-50 GLOSS CLEAR ONE PASSPintado 1,2023-06-01,0093-50 GLOSS CLEAR ONE PASS,189.25,3141.55,Pintado 1,5558.952,6.5533,29.37359049,33.44262295,4.069032462,-4.069032462
22,2023-07-140093-50 GLOSS CLEAR ONE PASSPintado 1,2023-07-14,0093-50 GLOSS CLEAR ONE PASS,85.25,1380.2,Pintado 1,2124.344,2.1813,24.9189912,33.44262295,8.523631748,-8.523631748
23,2023-08-080093-50 GLOSS CLEAR ONE PASSPintado 1,2023-08-08,0093-50 GLOSS CLEAR ONE PASS,537.281,8698.58,Pintado 1,16352.24,17.5029,30.43517266,33.44262295,3.007450294,-3.007450294
24,2023-09-090093-50 GLOSS CLEAR ONE PASSPintado 1,2023-09-09,0093-50 GLOSS CLEAR ONE PASS,208.822,3380.83,Pintado 1,4797.43081,5.1148,22.97378059,33.44262295,10.46884236,-10.46884236
25,2023-09-050093-50 GLOSS CLEAR ONE PASSPintado 1,2023-09-05,0093-50 GLOSS CLEAR ONE PASS,99,1602.81,Pintado 1,2091.306,2.183,21.12430303,33.44262295,12.31831992,-12.31831992
26,2023-10-070093-50 GLOSS CLEAR ONE PASSPintado 1,2023-10-07,0093-50 GLOSS CLEAR ONE PASS,137,2218.03,Pintado 1,4230.292,4.4434,30.8780438,33.44262295,2.564579155,-2.564579155
