,Litros Totales,Valor USD,Area,Espesor,Rendimiento Diario,Rendimiento Std,Diferencia de Rendimientos,Diferencia de Rendimientos !(abs),DENSIDAD,MOLIENDA,LENETA,SOL PESO,SOL VOLUMEN,TEMP METAL,TIEMP METAL SEG,VISCOSIDAD,Rendimiento Canning [m2/L],Linea_encoded,Id_Fecha_Pintura,Fecha,Pintura,Linea
0,181.68,2734.28,7659.79,7.97,42.16,33.44,8.72,8.72,1.06,,,61.0,53.0,240.5,20.0,27.0,33.44,0,2021-08-170093-50 GLOSS CLEAR ONE PASSPintado 1,2021-08-17,0093-50 GLOSS CLEAR ONE PASS,Pintado 1
1,211.68,3185.78,5827.33,6.48,27.53,33.44,5.91,-5.91,1.06,,,61.0,53.0,240.5,20.0,27.0,33.44,0,2021-09-040093-50 GLOSS CLEAR ONE PASSPintado 1,2021-09-04,0093-50 GLOSS CLEAR ONE PASS,Pintado 1
2,169.0,2543.45,3905.67,4.34,23.11,33.44,10.33,-10.33,1.06,,,61.0,53.0,240.5,20.0,27.0,33.44,0,2021-10-150093-50 GLOSS CLEAR ONE PASSPintado 1,2021-10-15,0093-50 GLOSS CLEAR ONE PASS,Pintado 1
3,119.0,1790.95,3637.22,3.64,30.56,33.44,2.88,-2.88,1.06,,,61.0,53.0,240.5,20.0,27.0,33.44,0,2021-10-220093-50 GLOSS CLEAR ONE PASSPintado 1,2021-10-22,0093-50 GLOSS CLEAR ONE PASS,Pintado 1
4,60.0,435.55,2226.72,1.29,82.82,33.44,49.38,49.38,1.06,,,61.0,53.0,240.5,20.0,27.0,33.44,0,2021-12-020093-50 GLOSS CLEAR ONE PASSPintado 1,2021-12-02,0093-50 GLOSS CLEAR ONE PASS,Pintado 1
5,364.72,5412.37,13178.55,13.65,36.13,33.44,2.69,2.69,1.06,,,61.0,53.0,240.5,20.0,27.0,33.44,0,2022-01-300093-50 GLOSS CLEAR ONE PASSPintado 1,2022-01-30,0093-50 GLOSS CLEAR ONE PASS,Pintado 1
6,463.75,6882.05,16457.9,18.34,35.49,33.44,2.05,2.05,1.06,,,61.0,53.0,240.5,20.0,27.0,33.44,0,2022-03-110093-50 GLOSS CLEAR ONE PASSPintado 1,2022-03-11,0093-50 GLOSS CLEAR ONE PASS,Pintado 1
7,193.21,2867.16,7839.46,7.26,40.58,33.44,7.13,7.13,1.06,,,61.0,53.0,240.5,20.0,27.0,33.44,0,2022-03-030093-50 GLOSS CLEAR ONE PASSPintado 1,2022-03-03,0093-50 GLOSS CLEAR ONE PASS,Pintado 1
8,134.0,1988.56,3283.29,3.62,24.5,33.44,8.94,-8.94,1.06,,,61.0,53.0,240.5,20.0,27.0,33.44,0,2022-04-240093-50 GLOSS CLEAR ONE PASSPintado 1,2022-04-24,0093-50 GLOSS CLEAR ONE PASS,Pintado 1
9,99.25,1472.87,3228.61,3.66,32.53,33.44,0.91,-0.91,1.06,,,61.0,53.0,240.5,20.0,27.0,33.44,0,2022-05-300093-50 GLOSS CLEAR ONE PASSPintado 1,2022-05-30,0093-50 GLOSS CLEAR ONE PASS,Pintado 1
